kiyak,cry,
kodernu,notebook,
"kodrado, kuadrado",square,
komanggi,brown skin color,
komangi,brown,
komentarista,commentator,
komision,commision,
kompania,company,
kompeticion,competition,
konbiniente,convenient,
konstablario,constabulary,
kornatin,cornet,
korobius,germs,
"kortina, iskrin",screen,
kosiang,pious,
"kotu, kuota",quota,
krisotan,a literary joust,
krobyus,microbe,
krobyus,germ,
krobyus,virus,
kuartu,room in the house,
kuartu,room,
kubiertos,silverware,
kubit,crooked,
kuchillo,kitchen knife,
kueba,cave,
"kuento, istoria",tale,
kuentu,narrate,
"kuentu, istoria",relate,
kuerdas,chord,
kukharita,teaspoon,
kukul,piece of cane sugar,
kulapispis,bankrupt,
kulate,creep like a vine,
kulayu,owl,
kuldas,alight,
kuldas,"alight, climb down, descend",
kule,color,
kulebra,a deadly disease,
kuliat,"a kind of tree, its fruit",
kuliawan,oriole,
"kulion, kulio",boo,
kulkul,hole,
kulkul,hole in the ground,
kulkulan,"dig, dirg a hole",
kulta,curdle like milk,
kulubasa,squash,
kulul,color,
kulul suklati,brown,
kulumbu,mosquito net,
kuluping,deformation of ear,
kulutun,frown,
kulyat,tree,
kulyawan,the color yellow,
kulyo,yell,
kumad,larvae of head lice,
kumad,louse,
"kumayap, mibawi",recover,
"kumpas, tiempo",rhythm,
kumusad,slither,
kumyak,cry,
kunal,pockmark,
kuneu,rabbit,
kunyat,chewiness,
kupak,smack,
kurat,whiny,
kuriru,"literary form, story in verse",
kursunsilyu,boxer short,
kurul,retreat,
kusintirul,pamperer,
kusuelo,pleasure,
kusuelo,fun,
kutil,wart,
kutnanan,consultant,
kwayan,bamboo,
kyapus,"imitate, mimic",
la,they,
la,them,
"labas, lague",star,
labasas,razor,
"laganap, kelat",rampant,
"lagpakan, lasakan",wreck,
laguen,haunt,
lagwa,lagwa,
lagyu,name,
laipan,centipede,
lakal,pad,
lakbe,trip,
lakdan,scorpion,
laklakan,devour,
"lakto, luksuan, lakton",skip,
lakuatsa,leisure,
lalague,character,
lalam,downstairs,
lalam,"bottom, down",
lalam,below,
lalam,depth,
lalam,under,
lalam danum,underwater,
lalam gabun,subway,
lalawe,man,
lalmunan,throat,
lamese,table,
lamnan,fill,
"lampasan, labisan, lumabis, lumampas, sumobra, mipalalu, lagpas",exceed,
langasan,dress,
langotsi,sack,
"langut, langutan",chew,
langutan,chewing gum,
"lapad, lualas",expanse,
laparis,runover,
lasak-lasak,ruins,
lasetas,jackknife,
lasetas,knife,
lasi-lasi,rubble,
"lati, mamala, matras",recede,
"latiko, latikuan",whip,
lawe lawe,looking around,
lawiwi,love song,
lawut,far,
lele,edge,
lele,put aside,
leproso,lente,
liamado,favorite,
libe,libido,
libreta,bankbook,
libreta,passbook,
libutad,middle,
"ligtas, saguipan",save,
lima,five,
"limasan, limas",drain,
limatak,glutton,
limbun,procession,
lingas-ngasan,bother,
lipaktung,cricket,
lipunga,trenchfoot,
lipunga,athlete's foot,
"lisun, lisyun",lesson,
"lokuan, pamiasnan",dupe,
"lomba-lomba, ballena",whale,
lorgabista,binoculars,
"lote, dakal",lot,
lovebird,lovebird,
ltxvos,tender,
lual,out,
lulam,nimbus clouds,
"lumapad, lumualas",expand,
lumbug,set,
"lumbug, palbug",submerge,
"lumibut, lumibad, maglibad-libad",roam,
"lumpia, limpia",egg roll,
lumput,sprout,
lumual,appear,
"lumuat, magluat",last,
lunganisa,sausage,
lungub,"come in, enter",
lungub,join,
lunkut,sorrow,
lunto,show,
lupisak,lizard,
lupisak,house lizard,
luyuk,slack,
luyus,betel nut,
"maaayama, makapanguiguil",you are cute,
mabaknal,choke,
mabalungus,big mouth,
mabangnas,rotten,
"mabawas, dumitak",diminish,
mabayat,severe,
mabayat,heavy,
mabibie,live,
mabie,being,
mabie,living,
mabie,alive,
"mabilis, masalusu, matalustus",fast,
mablas,retailiate,
mablas,reciprocate,
mabsi,full,
mabuhi,live,
mabungsul,swoon,
mabungsul,faint,
maduluk,smolder,
"magaling, biasa",skilled,
magarimuan,save,
magatal,itchy,
magatal,magatal,
magbitaung,howl,
"magdeklara, (vt) deklara",declare,
magdimitir,resign,
magkera,lie down,
"magkukulam, buruha",witch,
magkulta,coagulate,
magkurat- curatan,whine,
maglabul,gabble,
maglalawe,gaze,
maglaram,tell a lie,
maglawe-lawe,browse,
"maglintugan, miglintugan",blister,
maglubas,strip,
"magmaliksi, mamaligua",hurry,
